name,state,id,pop_2020
Mesa County,Colorado,6e9f6699,155603
Mineral County,Colorado,140877dc,773
Moffat County,Colorado,3b4a7ceb,13144
Montezuma County,Colorado,6393e792,26408
Montrose County,Colorado,8cdfec99,43322
Morgan County,Colorado,0a1837db,28941
Otero County,Colorado,635a12d2,18201
Ouray County,Colorado,a0cd5e87,5001
Park County,Colorado,f81b173e,18955
Phillips County,Colorado,8b9bf137,4367
Pitkin County,Colorado,fe86f2a9,17894
Prowers County,Colorado,ccd71c57,12106
Pueblo County,Colorado,810d4d1c,169823
Rio Blanco County,Colorado,81e453a8,6342
Rio Grande County,Colorado,40d8e6d7,11296
Routt County,Colorado,87533899,25560
Saguache County,Colorado,5fa20ece,6938
San Juan County,Colorado,13d5e916,748
San Miguel County,Colorado,ecdd4055,8105
Sedgwick County,Colorado,ca1abcde,2260
Summit County,Colorado,b5e41318,30631
Teller County,Colorado,3ee88c63,25529
Washington County,Colorado,c64358eb,4875
Weld County,Colorado,a3c133a3,333983
Yuma County,Colorado,cda21c72,10047
Fairfield County,Connecticut,2812e5c9,942426
Hartford County,Connecticut,d4b20e09,889226
Litchfield County,Connecticut,eb0601e4,179610
Middlesex County,Connecticut,7ac014a6,161657
New Haven County,Connecticut,7beb155c,851948
New London County,Connecticut,9c211527,264999
Tolland County,Connecticut,b5e5f68a,150600
Windham County,Connecticut,5d97f34d,116540
Kent County,Delaware,91d2c21b,183643
New Castle County,Delaware,d02c6274,561531
Sussex County,Delaware,b4961973,241635
District of Columbia,District of Columbia,de86de62,712816
Alachua County,Florida,d3de38a4,271218
Baker County,Florida,495505fe,29566
Bay County,Florida,029bae7e,171322
Bradford County,Florida,e299b03c,28593
Brevard County,Florida,c3683e35,608459
Broward County,Florida,d0f59db5,1958105
Calhoun County,Florida,2c42b8cd,14078
Charlotte County,Florida,28468e56,194711
Citrus County,Florida,0d9672ff,153010
Clay County,Florida,73b9293c,221770
Collier County,Florida,7d96bfe2,392973
Columbia County,Florida,0ea14f06,72654
DeSoto County,Florida,da4ab939,38520
Dixie County,Florida,977cd8ee,17057
Duval County,Florida,62470c1d,966728
Escambia County,Florida,7d033a21,322364
Flagler County,Florida,bde15d6c,118451
Franklin County,Florida,7be39269,12201
Gadsden County,Florida,2209cb56,45277
Gilchrist County,Florida,5a1d9e50,18885
Glades County,Florida,5d90a451,14198
Gulf County,Florida,c5cc0798,13534
Hamilton County,Florida,69bda76d,14521
Hardee County,Florida,f2922dcf,26822
Hendry County,Florida,76a31700,42813
Hernando County,Florida,58e8ba59,198792
Highlands County,Florida,1215ac6c,106639
Hillsborough County,Florida,d8558f47,1497957
Holmes County,Florida,13540373,19594
Indian River County,Florida,2b42c05a,162518
Jackson County,Florida,420b450c,46085
Jefferson County,Florida,18958a24,14543
Lafayette County,Florida,f72d0362,8482
Lake County,Florida,191ae289,375492
Lee County,Florida,52ed3bde,790767
Leon County,Florida,e188be79,295460
Levy County,Florida,a760e005,42214
Liberty County,Florida,356b9c17,8364
Madison County,Florida,47ad7a4f,18707
Manatee County,Florida,d273ca0c,411219
Marion County,Florida,da448500,373513
Martin County,Florida,af774137,162088
Miami-Dade County,Florida,5a419cfd,2707303
Monroe County,Florida,acecda5d,73900
Nassau County,Florida,422f9d9f,91113
Okaloosa County,Florida,13207463,212820
Okeechobee County,Florida,5afac21f,42297
Orange County,Florida,6ebf8550,1404396
Osceola County,Florida,27740184,385315
Palm Beach County,Florida,c26f6555,1507600
Pasco County,Florida,50aa999e,570412
Pinellas County,Florida,4b04e6a3,976802
Polk County,Florida,2bda5e81,744552
Putnam County,Florida,cb22411c,74815
St. Johns County,Florida,0041f5be,278715
St. Lucie County,Florida,d0fff85c,337186
Santa Rosa County,Florida,c71cf47b,189139
Sarasota County,Florida,48952ce3,443465
Seminole County,Florida,d2132da1,474171
Sumter County,Florida,3f792a2c,139018
Suwannee County,Florida,fce75792,44851
Taylor County,Florida,a6e3aee8,21600
Union County,Florida,bd076493,15182
Volusia County,Florida,0301a6f4,561497
Wakulla County,Florida,80b7f495,34319
Walton County,Florida,eed1a7c6,76648
Washington County,Florida,44f74ecb,25932
Appling County,Georgia,a969d402,18325
Atkinson County,Georgia,7a9ce6d7,8393
Bacon County,Georgia,9b3e8e17,11036
Baker County,Georgia,58149e40,2971
Baldwin County,Georgia,b21c5322,45099
Banks County,Georgia,28239727,19352
Barrow County,Georgia,53d4d99d,85588
Bartow County,Georgia,faf7f7bf,109426
Ben Hill County,Georgia,56e49139,16614
