,name,state,id,pop_2020
23229,Maine township,North Dakota,b3665617,17
23366,New City township,North Dakota,1eec6e1c,17
23423,Northwest township (Dickey County),North Dakota,d531e274,17
23464,Overly city,North Dakota,1f4c4b72,17
23482,Peabody township,North Dakota,f88c4db9,17
23859,Twin Butte township,North Dakota,1098f89d,17
23904,Wagendorf township,North Dakota,070adb82,17
8610,Altory township,Kansas,a90b2118,18
9149,Frederick city,Kansas,c891ceb7,18
9934,Penalosa city,Kansas,ab3a812b,18
10169,Shiley township,Kansas,33d90105,18
22376,Balta township,North Dakota,dee451fa,18
22492,Bull Butte township,North Dakota,839c1721,18
22513,Calvin city,North Dakota,934a96f8,18
22553,Central Slope UT,North Dakota,c78b62f2,18
22570,Clara township,North Dakota,c21675a7,18
22791,Farina township,North Dakota,32554425,18
22867,Gem township,North Dakota,524fd174,18
22870,Germania township,North Dakota,a9936e09,18
22880,Gilstrap township,North Dakota,f6849ba9,18
22934,Greenbush township,North Dakota,798f7436,18
22944,Grey township,North Dakota,51594142,18
22995,Hawksnest township,North Dakota,96536013,18
23025,Highland township (Hettinger County),North Dakota,1013eace,18
23159,Leal city,North Dakota,df885a1c,18
23212,Lordsburg township,North Dakota,0b7f94e9,18
23225,Lyon township,North Dakota,22d0a298,18
23290,Mentor township,North Dakota,9560a2ed,18
23306,Minco township,North Dakota,fa805095,18
23445,Olson township,North Dakota,2b83c75c,18
23453,Orthell township,North Dakota,46316f55,18
23546,Progress township,North Dakota,ea1bd7bc,18
23585,Richland township,North Dakota,12ff84a6,18
23740,Southwest township,North Dakota,697779ab,18
23784,Stone Creek township,North Dakota,6b28cb0e,18
23825,Thelma township,North Dakota,c6e71c61,18
23873,Valhalla township,North Dakota,18c3ea4c,18
23875,Valley Spring township,North Dakota,8be9fb64,18
9498,Latimer city,Kansas,afe0136c,19
10505,Winfield township,Kansas,8049a182,19
14659,Donnelly township (Marshall County),Minnesota,b210f641,19
14930,Gheen UT,Minnesota,41ec58d1,19
22486,Bucklin township,North Dakota,d41c8ac0,19
22488,Buena Vista township,North Dakota,359e86fc,19
22757,Elmwood UT,North Dakota,c5807a80,19
22907,Graf township,North Dakota,d74da830,19
22928,Grassland township,North Dakota,8bb9ed6f,19
22977,Harmonious township,North Dakota,732f798d,19
23026,Highland township (Sheridan County),North Dakota,c584dffc,19
23035,Holden UT,North Dakota,9d5bc6a8,19
23387,Nogosek township,North Dakota,fa4158d4,19
23484,Peaceful Valley township,North Dakota,bfaa1200,19
23566,Ree township,North Dakota,f0b787ca,19
23615,Rose Hill township (McHenry County),North Dakota,eb4b7c14,19
23664,Schrunk township,North Dakota,289fe951,19
23787,Storlie township,North Dakota,3626cfea,19
23902,Wadsworth township,North Dakota,79c6f109,19
23956,West Slope UT,North Dakota,7ccf0b46,19
9013,Durham township,Kansas,59c3fc1d,20
9091,Eureka township (Mitchell County),Kansas,8b8c9db8,20
9292,Harlan township (Decatur County),Kansas,0fc7aff4,20
9352,Hollenberg city,Kansas,256e80e0,20
9843,Odessa township (Jewell County),Kansas,2fe5900e,20
